"","Origin","Destination","auto","transit","bike","walk","others","Total_flows","X_Org","Y_Org","X_Dest","Y_Dest","status","in-vehicleTime","waitingTime","transfers","accessTime"
"162",1128.18,1128.2,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.879865905,40.4794072388,"OK",0,0,0,72.88
"163",1128.18,1130.16,40,0,0,0,0,40,-111.901426578,40.4952724011,-111.975449825,40.5114696296,"OK",59.6,92.05,3,69.02
"164",1128.18,1151.06,30,0,0,0,0,30,-111.901426578,40.4952724011,-112.004628549,40.4599044577,"OK",63.62,81.22,2,130.88
"165",1128.18,1130.11,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.94344956,40.5508508861,"OK",21.67,17.2,1,82.88
"166",1128.18,1128.05,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.861369104,40.5357819585,"OK",32,12.78,1,84
"167",1128.18,1131.07,0,0,0,0,0,0,-111.901426578,40.4952724011,-112.019569271,40.5162767243,"OK",70.82,81.22,2,72.62
"168",1128.18,1128.22,20,0,0,0,0,20,-111.901426578,40.4952724011,-111.881538572,40.5515553247,"OK",28,19.27,1,77.85
"169",1128.18,1128.15,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.796918933,40.5295233107,"OK",35,12.78,1,165.65
"170",1128.18,1128.04,20,0,0,0,0,20,-111.901426578,40.4952724011,-111.862777239,40.5515369657,"OK",10.4,0.03,0,94.78
"171",1128.18,1130.2,130,0,0,0,0,130,-111.901426578,40.4952724011,-111.99405361,40.5515488547,"OK",59.43,38.22,2,69.3
"172",1128.18,1131.05,20,0,0,0,0,20,-111.901426578,40.4952724011,-112.117993088,40.525950728,"OK",45.88,27.22,2,249.95
"173",1128.18,1128.18,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.901426578,40.4952724011,"409",NA,NA,NA,NA
"174",1128.18,1128.16,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.869461932,40.5058173534,"OK",0,0,0,90.98
"175",1128.18,1130.14,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.948468112,40.5308388373,"OK",19.12,17.2,1,103.07
"176",1128.19,1130.17,40,0,0,0,0,40,-111.880069626,40.5140635727,-111.948248678,40.5113921689,"OK",61.05,57.58,3,44.4
"177",1128.19,1128.2,120,0,0,15,0,135,-111.880069626,40.5140635727,-111.879865905,40.4794072388,"OK",0,0,0,76.77
"178",1128.19,1128.17,520,0,0,0,0,520,-111.880069626,40.5140635727,-111.905268914,40.5305236091,"OK",0,0,0,60.23
"179",1128.19,1131.07,550,0,0,0,0,550,-111.880069626,40.5140635727,-112.019569271,40.5162767243,"OK",76.55,57.58,3,39.58
"180",1128.19,1128.16,200,0,0,0,0,200,-111.880069626,40.5140635727,-111.869461932,40.5058173534,"OK",0,0,0,24.33
"181",1128.19,1151.06,70,0,0,0,0,70,-111.880069626,40.5140635727,-112.004628549,40.4599044577,"OK",69.35,57.58,3,97.85
"182",1128.19,1130.14,80,0,0,0,0,80,-111.880069626,40.5140635727,-111.948468112,40.5308388373,"OK",58.1,57.58,3,45.47
"183",1128.19,1152.09,30,0,0,0,0,30,-111.880069626,40.5140635727,-112.034044038,40.5615932734,"OK",41.73,38.15,2,52.8
"184",1128.19,1128.1,80,0,0,0,0,80,-111.880069626,40.5140635727,-111.939987654,40.4779393131,"OK",0,0,0,136.27
"185",1128.19,1131.05,140,0,0,0,0,140,-111.880069626,40.5140635727,-112.117993088,40.525950728,"OK",51.62,63.58,3,216.92
"186",1128.19,1128.22,28,0,0,0,0,28,-111.880069626,40.5140635727,-111.881538572,40.5515553247,"OK",11.38,0.03,0,36.87
"187",1128.19,1130.12,20,0,0,0,0,20,-111.880069626,40.5140635727,-111.920766871,40.5589868638,"OK",7.27,0.03,0,67.92
"188",1128.19,1130.2,110,0,0,0,0,110,-111.880069626,40.5140635727,-111.99405361,40.5515488547,"OK",49.38,37.2,2,63.32
"189",1128.19,1130.11,20,0,0,0,0,20,-111.880069626,40.5140635727,-111.94344956,40.5508508861,"OK",15.7,17.55,1,66.63
"190",1128.19,1130.13,0,0,30,0,0,30,-111.880069626,40.5140635727,-111.975436902,40.5295980976,"OK",72.87,57.58,3,33.37
"191",1128.19,1128.18,0,0,0,0,0,0,-111.880069626,40.5140635727,-111.901426578,40.4952724011,"OK",0,0,0,102.83
"192",1128.19,1128.15,100,0,0,0,0,100,-111.880069626,40.5140635727,-111.796918933,40.5295233107,"OK",0,0,0,125.85
"193",1128.19,1146,200,0,0,0,0,200,-111.880069626,40.5140635727,-111.927991851,40.5189579801,"OK",0,0,0,85.22
"194",1128.19,1130.19,0,0,0,0,0,0,-111.880069626,40.5140635727,-111.969767252,40.549554591,"OK",55.7,74.58,3,45.62
"195",1128.19,1128.23,480,0,0,45,0,525,-111.880069626,40.5140635727,-111.880345644,40.5350877531,"OK",0,0,0,39.75
"196",1128.19,1128.21,20,0,10,0,0,30,-111.880069626,40.5140635727,-111.841314748,40.4979086579,"OK",0,0,0,64.93
